"gridid","lat","lon"
"34.25-75.75",34.25,-75.75
"34.25-76.25",34.25,-76.25
"34.25-76.75",34.25,-76.75
"34.25-77.25",34.25,-77.25
"34.25-77.75",34.25,-77.75
"34.75-75.25",34.75,-75.25
"34.75-75.75",34.75,-75.75
"34.75-76.25",34.75,-76.25
"34.75-76.75",34.75,-76.75
"34.75-77.25",34.75,-77.25
"35.25-74.75",35.25,-74.75
"35.25-75.25",35.25,-75.25
"35.25-75.75",35.25,-75.75
"35.25-76.25",35.25,-76.25
"35.75-74.75",35.75,-74.75
"35.75-75.25",35.75,-75.25
"35.75-75.75",35.75,-75.75
"36.25-74.75",36.25,-74.75
"36.25-75.25",36.25,-75.25
"36.25-75.75",36.25,-75.75
"36.75-74.75",36.75,-74.75
"36.75-75.25",36.75,-75.25
"36.75-75.75",36.75,-75.75
"36.75-76.25",36.75,-76.25
"37.25-74.25",37.25,-74.25
"37.25-74.75",37.25,-74.75
"37.25-75.25",37.25,-75.25
"37.25-75.75",37.25,-75.75
"37.25-76.25",37.25,-76.25
"37.75-73.75",37.75,-73.75
"37.75-74.25",37.75,-74.25
"37.75-74.75",37.75,-74.75
"37.75-75.25",37.75,-75.25
"37.75-75.75",37.75,-75.75
"38.25-73.25",38.25,-73.25
"38.25-73.75",38.25,-73.75
"38.25-74.25",38.25,-74.25
"38.25-74.75",38.25,-74.75
"38.25-75.25",38.25,-75.25
"38.75-72.75",38.75,-72.75
"38.75-73.25",38.75,-73.25
"38.75-73.75",38.75,-73.75
"38.75-74.25",38.75,-74.25
"38.75-74.75",38.75,-74.75
"38.75-75.25",38.75,-75.25
"39.25-72.25",39.25,-72.25
"39.25-72.75",39.25,-72.75
"39.25-73.25",39.25,-73.25
"39.25-73.75",39.25,-73.75
"39.25-74.25",39.25,-74.25
"39.25-74.75",39.25,-74.75
"39.75-69.25",39.75,-69.25
"39.75-69.75",39.75,-69.75
"39.75-70.25",39.75,-70.25
"39.75-70.75",39.75,-70.75
"39.75-71.25",39.75,-71.25
"39.75-71.75",39.75,-71.75
"39.75-72.25",39.75,-72.25
"39.75-72.75",39.75,-72.75
"39.75-73.25",39.75,-73.25
"39.75-73.75",39.75,-73.75
"39.75-74.25",39.75,-74.25
"40.25-67.25",40.25,-67.25
"40.25-67.75",40.25,-67.75
"40.25-68.25",40.25,-68.25
"40.25-68.75",40.25,-68.75
"40.25-69.25",40.25,-69.25
"40.25-69.75",40.25,-69.75
"40.25-70.25",40.25,-70.25
"40.25-70.75",40.25,-70.75
"40.25-71.25",40.25,-71.25
"40.25-71.75",40.25,-71.75
"40.25-72.25",40.25,-72.25
"40.25-72.75",40.25,-72.75
"40.25-73.25",40.25,-73.25
"40.25-73.75",40.25,-73.75
"40.25-74.25",40.25,-74.25
"40.75-66.25",40.75,-66.25
"40.75-66.75",40.75,-66.75
"40.75-67.25",40.75,-67.25
"40.75-67.75",40.75,-67.75
"40.75-68.25",40.75,-68.25
"40.75-68.75",40.75,-68.75
"40.75-69.25",40.75,-69.25
"40.75-69.75",40.75,-69.75
"40.75-70.25",40.75,-70.25
"40.75-70.75",40.75,-70.75
"40.75-71.25",40.75,-71.25
"40.75-71.75",40.75,-71.75
"40.75-72.25",40.75,-72.25
"40.75-72.75",40.75,-72.75
"40.75-73.25",40.75,-73.25
"40.75-73.75",40.75,-73.75
"41.25-65.75",41.25,-65.75
"41.25-66.25",41.25,-66.25
"41.25-66.75",41.25,-66.75
"41.25-67.25",41.25,-67.25
"41.25-67.75",41.25,-67.75
"41.25-68.25",41.25,-68.25
"41.25-68.75",41.25,-68.75
"41.25-69.25",41.25,-69.25
"41.25-69.75",41.25,-69.75
"41.25-70.25",41.25,-70.25
"41.25-70.75",41.25,-70.75
"41.25-71.25",41.25,-71.25
"41.25-71.75",41.25,-71.75
"41.75-65.75",41.75,-65.75
"41.75-66.25",41.75,-66.25
"41.75-66.75",41.75,-66.75
"41.75-67.25",41.75,-67.25
"41.75-67.75",41.75,-67.75
"41.75-68.25",41.75,-68.25
"41.75-68.75",41.75,-68.75
"41.75-69.25",41.75,-69.25
"41.75-69.75",41.75,-69.75
"41.75-70.25",41.75,-70.25
"41.75-70.75",41.75,-70.75
"42.25-64.75",42.25,-64.75
"42.25-65.25",42.25,-65.25
"42.25-65.75",42.25,-65.75
"42.25-66.25",42.25,-66.25
"42.25-66.75",42.25,-66.75
"42.25-67.25",42.25,-67.25
"42.25-67.75",42.25,-67.75
"42.25-68.25",42.25,-68.25
"42.25-68.75",42.25,-68.75
"42.25-69.25",42.25,-69.25
"42.25-69.75",42.25,-69.75
"42.25-70.25",42.25,-70.25
"42.25-70.75",42.25,-70.75
"42.75-63.25",42.75,-63.25
"42.75-63.75",42.75,-63.75
"42.75-64.25",42.75,-64.25
"42.75-64.75",42.75,-64.75
"42.75-65.25",42.75,-65.25
"42.75-65.75",42.75,-65.75
"42.75-66.25",42.75,-66.25
"42.75-66.75",42.75,-66.75
"42.75-67.25",42.75,-67.25
"42.75-67.75",42.75,-67.75
"42.75-68.25",42.75,-68.25
"42.75-68.75",42.75,-68.75
"42.75-69.25",42.75,-69.25
"42.75-69.75",42.75,-69.75
"42.75-70.25",42.75,-70.25
"42.75-70.75",42.75,-70.75
"43.25-63.25",43.25,-63.25
"43.25-63.75",43.25,-63.75
"43.25-64.25",43.25,-64.25
"43.25-64.75",43.25,-64.75
"43.25-65.25",43.25,-65.25
"43.25-65.75",43.25,-65.75
"43.25-66.25",43.25,-66.25
"43.25-66.75",43.25,-66.75
"43.25-67.25",43.25,-67.25
"43.25-67.75",43.25,-67.75
"43.25-68.25",43.25,-68.25
"43.25-68.75",43.25,-68.75
"43.25-69.25",43.25,-69.25
"43.25-69.75",43.25,-69.75
"43.25-70.25",43.25,-70.25
"43.75-63.75",43.75,-63.75
"43.75-64.25",43.75,-64.25
"43.75-64.75",43.75,-64.75
"43.75-66.25",43.75,-66.25
"43.75-66.75",43.75,-66.75
"43.75-67.25",43.75,-67.25
"43.75-67.75",43.75,-67.75
"43.75-68.25",43.75,-68.25
"43.75-68.75",43.75,-68.75
"43.75-69.25",43.75,-69.25
"43.75-69.75",43.75,-69.75
"43.75-70.25",43.75,-70.25
"44.25-63.25",44.25,-63.25
"44.25-63.75",44.25,-63.75
"44.25-66.25",44.25,-66.25
"44.25-66.75",44.25,-66.75
"44.25-67.25",44.25,-67.25
"44.25-67.75",44.25,-67.75
"44.25-68.25",44.25,-68.25
"44.75-66.25",44.75,-66.25
"44.75-66.75",44.75,-66.75
"44.75-67.25",44.75,-67.25
